AVDBS_URL, 품번, 한글명, 일어명, 영어명, 출시일, 출연, 제작사, 레이블, 시리즈, 감독, 재생시간
https://www.avdbs.com/menu/dvd.php?dvd_idx=103,OVG-005,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.09.18,#혼다리코#사와무라레이코#스노하라미키#사사키레미#키시안나,#글로리퀘스트,GLORYQUEST,'나마로들어가버렸다!',,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=104,VRTM-009,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.09.12,#호사카에리#사사키레미#星乃はな,#V&RPRODUCE,V&RPRODUCE,孤独のエロス,인장고하,125min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=105,ABC-036,아스카미츠키,あすか光希,MitsukiAsuka,2014.09.10,#森野さくら#아스카미츠키#竹内りな#스즈키민트#사사키레미,#프레스티지,RECOMMEND,敏感すぎるド級シロウト娘。,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=108,ZUKO-060,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.09.01,#하마사키마오#카와나미스즈#사사키레미#사토하루키,#즈콘바콘,즈콘바콘,○○ボインの中出し乱交,낙이다,181min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=127,HXAD-001,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.07.15,#사사키레미,#쟈네스,Fetish팬스트,,,111min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=128,RDT-193,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.07.10,#사사키레미#미야노유카나#호시자키유나,#프레스티지,REALDOCUMENT,慌てていてブラを着け忘れたノーブラニット女の胸に見とれていると…,,120min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=129,YMDD-052,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.07.07,#사사키레미,#모모타로영상출판,와카모모,,DUKE,157min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=130,AUKS-045,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.07.01,#사사키레미#니이야마카에데,#U&K,U&K,,타키구치시루비아,170min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=131,HPR-010,사토하루키,さとう遥希,HarukiSato,2014.06.30,#사토하루키#사쿠라이아유#토모다아야카#아시나유리아#사사키레미#이타노유키#아이카사야#하즈키노조미#시노다유#미야시타츠바사,#최●연구소,최면연구,최면연구,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=132,BDD-037,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.06.25,#사사키레미,#글로벌미디어엔터테인먼트,BLACKDICK,흑인거대말라VS,바지런한집안,129min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=133,ARM-355,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.06.25,#사사키레미,#아로마기획,AROMA,,츠노와키시게오,114min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=134,GIMG-021,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.06.20,#사사키레미,#GIGA,GIGA,히로인이미지팩토리,하세가와타다유키,30min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=138,DVDES-743,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.06.05,#사쿠라이아유#미나토리쿠#사사키레미,#딥스,DEEP'S,레즈노예,이사카토모야스,140min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=139,RDT-186,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.05.13,#카스가모나#사사키레미#하마사키마오,#프레스티지,REALDOCUMENT,「ちょっとそこまでだから…」,,112min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=141,MXD-025,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.05.09,#유키미사#사사키레미#아사노미나미#카미하타이치카#아사기리아카리#이타가키아즈사#우에하라아이,#드림티켓,드림티켓,照れるほど見つめられる乳首責め,,112min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=142,RPD-008,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.25,#야베히사에#山河ほたる#小泉さゆ#사사키레미,#글로벌미디어엔터테인먼트,RAPE(글로벌미디어엔터테인먼트),強●,ミサイルマン,175min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=143,SBNR-356,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.25,#사사키레미,#나가에스타일,나가에STYLE,,나가에,75min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=144,LZDZ-002,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.19,#나가세료코#사사키레미,#레즈레!,레즈레,巨尻レズ団地妻,마사키미나미토모,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=145,WKA-001,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.11,#사사키레미#혼죠유카#나나세유이,#프레스티지,와케아리,,,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=146,DVDES-726,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.10,#미나토리쿠#모리나나코#사사키레미#카노아야코#미오리마이,#딥스,DEEP'S,品格のあるキャビンアテンダントの美脚ガニ股研修,루미나쿠스,200min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=147,ALSP-036,사쿠라유,さくら悠,YuSakura,2014.04.10,#사쿠라유#츠바키카나리#사사키레미#모치즈키마리아,#타카라영상,타카라비쥬루,,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=148,YAG-101,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.04.04,#오츠키히비키사사키레미,#영천,야부사메(영천),,,115min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=149,MITB-005,하츠미사키,初美沙希,SakiHatsumi,2014.04.01,#하츠미사키#시이나유나#미야우치쿄카#미야마시호#미야세리코#이토야메이#아이노유나#나카오카타마키#노무라모에카#키자키리오나#사사키레미#노아,#밀월,밀월(밀월),イイオンナの吸い付くような本気のフェラチオ,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=150,T28-348,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.03.21,#카스가모나#사이조루리#사사키레미,#TMA,TMA,,,120min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=152,PARM-036,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.03.13,#아마노코유키#사사키레미#久保田愛梨#立科弓華#카와고에유이#HARUKA,#아로마기획,망상칠랄리즘,,,122min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=154,SS-034,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.03.06,#카미하타이치카#모리나나코#사사키레미#콘노마리에,#글로리퀘스트,GLORYQUEST,黒パンストSTYLE,,136min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=155,SORA-018,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.03.01,#사사키레미,#산과하늘/망상족,,人妻転落物語,무재한겨울,125min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=156,FAJS-024,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.03.01,#사사키레미,#FA프로,FA프로루우지,美乳潮吹きヘルパー,이즈미루우지,111min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=157,FSET-479,타키가와카논,瀧川花音,KanonTakigawa,2014.02.20,#타키가와카논#사사키레미#오이시미사키,#아키노리,AKNR,,아키노리,165min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=158,SSR-036,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.02.20,#스노하라미키#하라치구사#사사키레미#토오노미호,#SOSORU,SOSORU,,우에스기슈우지,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=159,ARM-319,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.02.13,#사사키레미#야자와료#아마노코유키#立科弓華,#아로마기획,AROMA,,츠노와키시게오,110min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=160,ALD-696,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.02.07,#아이노유나#시이나유나#나나세아사미#사사키레미#무라카미료코#미즈키나오#카시마료#잇시키마리나#사에지마카오리#사에키하루나#토키사카히나,#모모타로영상출판,ALLIN☆ONE,なまはめ危機一髪,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=162,DWD-099,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.19,#사사키레미#아오이코하루,#도그마,Dogma,,K*WEST,126min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=163,FSET-472,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.09,#오이시미사키#카스가유이#아야세렌#사사키레미#스노하라미키,#아키노리,AKNR,,FSET,193min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=164,ALD-692,후지사키쿠로에,彩佳リリス（藤崎クロエ）,KuroeFujisaki,2014.01.07,#후지사키쿠로에#아소미사키#마츠모토아리사#모모세에미루#사사키레미#치바나메이사#츠지모토료#모모미야모모#코무카이마나미#미즈사와마오,#모모타로영상출판,ALLIN☆ONE,,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=165,NFDM-323,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.05,#사사키레미,#프리덤,프리덤,,,132min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=166,AUKG-211,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.01,#사쿠라이아유#사사키레미#아이카와유이#사이온지레오#아이카사야#이와사아유미,#U&K,U&K,レズペット,,110min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=167,SMT-015,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.01,#사사키레미,#밀월,숙녀,,,119min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=168,CGQ-003,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.12.19,#사사키레미,#글로리퀘스트,GLORYQUEST,ベロちゅう(グローリークエスト),DOPAMIX,127min,
